term,term_size,overlap_size,gene_count,query_size,background_size,pvalue,overlap_genes,qvalue,score,rich_factor,gene_ratio,neg_log10_qvalue
Purine metabolism (map00230),15,2,2,3,706,0.001250164382660917,ABBFA_000127;uraH,0.003750493147982751,2.425911623641221,0.13333333333333333,0.6666666666666666,2.425911623641221
Microbial metabolism in diverse environments (map01120),55,2,2,3,706,0.01700281779277922,ABBFA_000127;uraH,0.02550422668916883,1.5933878401280217,0.03636363636363636,0.6666666666666666,1.5933878401280217
Metabolic pathways (map01100),134,2,2,3,706,0.09399222470013864,ABBFA_000127;uraH,0.09399222470013864,1.0269080709693332,0.014925373134328358,0.6666666666666666,1.0269080709693332
