term,term_size,overlap_size,gene_count,query_size,background_size,pvalue,overlap_genes,qvalue,score,rich_factor,gene_ratio,neg_log10_qvalue
Styrene degradation (map00643),3,3,3,3,706,1.7123193845513177e-08,ABBFA_000067;fahA;maiA,1.0273916307307906e-07,6.988263976418027,1.0,1.0,6.988263976418027
Tyrosine metabolism (map00350),5,2,2,3,706,0.00012020482079550249,fahA;maiA,0.0003606144623865075,3.4429568599522034,0.4,0.6666666666666666,3.4429568599522034
Microbial metabolism in diverse environments (map01120),55,3,3,3,706,0.00044922699053703813,ABBFA_000067;fahA;maiA,0.0008984539810740763,3.0465041626033322,0.05454545454545454,1.0,3.0465041626033322
Metabolic pathways (map01100),134,3,3,3,706,0.006713730335724189,ABBFA_000067;fahA;maiA,0.010070595503586284,1.99694484759189,0.022388059701492536,1.0,1.99694484759189
Degradation of aromatic compounds (map01220),4,1,1,3,706,0.016924907260782135,ABBFA_000067,0.02030988871293856,1.6922924562844648,0.25,0.3333333333333333,1.6922924562844648
Benzoate degradation (map00362),5,1,1,3,706,0.02112608287077879,ABBFA_000067,0.02112608287077879,1.6751810209462785,0.2,0.3333333333333333,1.6751810209462785
