term,term_size,overlap_size,gene_count,query_size,background_size,pvalue,overlap_genes,qvalue,score,rich_factor,gene_ratio,neg_log10_qvalue
Sulfur metabolism (map00920),8,3,3,3,706,9.588988553487379e-07,ABBFA_000175;ABBFA_000176;ABBFA_000310,3.8355954213949515e-06,5.416167208467508,0.375,1.0,5.416167208467508
Riboflavin metabolism (map00740),4,1,1,3,706,0.016924907260782135,ABBFA_000176,0.03375369632677811,1.4716786611611663,0.25,0.3333333333333333,1.4716786611611663
ABC transporters (map02010),6,1,1,3,706,0.025315272245083585,ABBFA_000310,0.03375369632677811,1.4716786611611663,0.16666666666666666,0.3333333333333333,1.4716786611611663
Metabolic pathways (map01100),134,1,1,3,706,0.46869914411427893,ABBFA_000176,0.46869914411427893,0.32910583953885786,0.007462686567164179,0.3333333333333333,0.32910583953885786
