term,term_size,overlap_size,gene_count,query_size,background_size,pvalue,overlap_genes,qvalue,score,rich_factor,gene_ratio,neg_log10_qvalue
Glycolysis / Gluconeogenesis (map00010),6,1,1,3,706,0.025315272245083585,acsA,0.10511880756817771,0.9783195742445085,0.16666666666666666,0.3333333333333333,0.9783195742445085
Methane metabolism (map00680),6,1,1,3,706,0.025315272245083585,acsA,0.10511880756817771,0.9783195742445085,0.16666666666666666,0.3333333333333333,0.9783195742445085
Other carbon fixation pathways (map00720),11,1,1,3,706,0.04608202489301428,acsA,0.10511880756817771,0.9783195742445085,0.09090909090909091,0.3333333333333333,0.9783195742445085
Pyruvate metabolism (map00620),12,1,1,3,706,0.05019965644023869,acsA,0.10511880756817771,0.9783195742445085,0.08333333333333333,0.3333333333333333,0.9783195742445085
Propanoate metabolism (map00640),14,1,1,3,706,0.05839933753787651,acsA,0.10511880756817771,0.9783195742445085,0.07142857142857142,0.3333333333333333,0.9783195742445085
Carbon metabolism (map01200),26,1,1,3,706,0.10660831995441121,acsA,0.15991247993161684,0.7961176416075049,0.038461538461538464,0.3333333333333333,0.7961176416075049
Microbial metabolism in diverse environments (map01120),55,1,1,3,706,0.21625900337532394,acsA,0.2780472900539879,0.5558813333521756,0.01818181818181818,0.3333333333333333,0.5558813333521756
Biosynthesis of secondary metabolites (map01110),64,1,1,3,706,0.2483657623793843,acsA,0.2794114826768073,0.5537557501162407,0.015625,0.3333333333333333,0.5537557501162407
Metabolic pathways (map01100),134,1,1,3,706,0.46869914411427893,acsA,0.46869914411427893,0.32910583953885786,0.007462686567164179,0.3333333333333333,0.32910583953885786
