term,term_size,overlap_size,gene_count,query_size,background_size,pvalue,overlap_genes,qvalue,score,rich_factor,gene_ratio,neg_log10_qvalue
Histidine metabolism (map00340),8,2,2,3,706,0.00033561459937205825,hutH;hutU,0.0006712291987441165,3.173129159781214,0.25,0.6666666666666666,3.173129159781214
Metabolic pathways (map01100),134,2,2,3,706,0.09399222470013864,hutH;hutU,0.09399222470013864,1.0269080709693332,0.014925373134328358,0.6666666666666666,1.0269080709693332
