gene,module_id
ABBFA_000005,1
ABBFA_000434,2
rpmC,3
ABBFA_000008,4
ABBFA_000353,5
ABBFA_000009,6
ABBFA_000164,7
ABBFA_000178,8
ABBFA_000395,9
ABBFA_000396,9
ABBFA_000463,10
hutG,11
hutI,11
ABBFA_000010,12
ABBFA_000261,13
ABBFA_000464,14
ABBFA_000554,15
ABBFA_000180,16
ABBFA_000181,16
acsA,16
ABBFA_000011,17
ABBFA_000268,18
ABBFA_000012,19
ABBFA_000397,20
ABBFA_000015,21
ABBFA_000016,22
ABBFA_000017,23
ABBFA_000259,23
ABBFA_000057,24
ABBFA_000302,25
ABBFA_000660,26
ABBFA_003532,27
ABBFA_000408,28
ABBFA_000661,29
ABBFA_000673,30
ABBFA_000019,31
ABBFA_000504,32
ABBFA_000597,33
ABBFA_000022,34
ABBFA_000023,35
ABBFA_000245,36
ABBFA_000652,37
ABBFA_000284,38
ABBFA_000398,39
ABBFA_000694,40
ABBFA_000752,41
ABBFA_000031,42
ABBFA_000369,43
ABBFA_000681,44
ABBFA_000033,45
ABBFA_000034,45
ABBFA_000585,46
ABBFA_000037,47
phoB,48
phoR,48
ABBFA_000040,49
ABBFA_000041,49
ABBFA_000362,50
ABBFA_000363,51
ABBFA_000052,52
ABBFA_000091,53
ABBFA_000573,54
ABBFA_000577,54
ABBFA_000656,55
ABBFA_000776,56
ABBFA_000590,57
ABBFA_000064,58
ABBFA_000343,59
ABBFA_000067,60
fahA,60
maiA,60
ABBFA_000070,61
ABBFA_000352,62
ABBFA_000084,63
ABBFA_000187,64
ABBFA_000188,64
ABBFA_000263,65
ABBFA_000266,66
ABBFA_000388,67
hppD,68
ABBFA_000071,69
ABBFA_000072,70
ABBFA_000570,70
ABBFA_000569,71
ABBFA_000107,72
ABBFA_000073,73
ABBFA_000158,74
ABBFA_000667,74
ABBFA_000075,75
hutC,76
ABBFA_000078,77
hutH,77
hutU,77
ABBFA_000081,78
ABBFA_000127,79
ABBFA_000129,79
uraH,79
ABBFA_000394,80
ABBFA_000502,81
ABBFA_000090,82
ABBFA_000356,83
ABBFA_000357,84
ABBFA_000613,85
ABBFA_000720,86
ABBFA_000098,87
ABBFA_000696,88
parE,89
ABBFA_000459,90
ABBFA_000666,91
ABBFA_000108,92
ABBFA_000254,93
ABBFA_000262,94
ABBFA_000175,95
ABBFA_000176,95
ABBFA_000310,95
ABBFA_000371,96
ABBFA_000113,97
ABBFA_000121,98
ABBFA_003544,99
ABBFA_000123,100
ABBFA_000756,101
ABBFA_000131,102
ABBFA_000132,103
allC,104
ABBFA_000128,105
ABBFA_000465,106
ABBFA_000622,107
ABBFA_000623,107
ABBFA_000138,108
ABBFA_000705,109
ABBFA_000139,110
ABBFA_000173,111
ABBFA_000413,112
ABBFA_000142,113
ABBFA_000336,114
ABBFA_000153,115
ABBFA_000201,116
ABBFA_000157,117
ABBFA_000274,118
ABBFA_000365,119
ABBFA_000159,120
ABBFA_000755,121
ABBFA_000160,122
ABBFA_000486,123
ABBFA_000532,124
ABBFA_000710,125
ABBFA_000367,126
ABBFA_000494,127
ABBFA_000385,128
ABBFA_000618,128
ABBFA_000636,129
ABBFA_000166,130
ABBFA_000167,131
