gene1,gene2,weight,zscore,pvalue,qvalue,lfdr,prob
ABBFA_000005,ABBFA_000434,0.11495073140221218,0.11495073140221218,0.0,0.0,6.006386910675397e-294,1.0
ABBFA_000005,rpmC,0.10216035337825394,0.10216035337825394,0.0,0.0,6.390138134817322e-233,1.0
ABBFA_000008,ABBFA_000353,0.1280628103159841,0.1280628103159841,0.0,0.0,0.0,1.0
ABBFA_000009,ABBFA_000164,0.11921267693159203,0.11921267693159203,0.0,0.0,7.39712205e-316,1.0
ABBFA_000009,ABBFA_000178,-0.11722388820989438,-0.11722388820989438,0.0,0.0,1.1180629974249636e-288,1.0
ABBFA_000009,ABBFA_000395,0.15970146203997046,0.15970146203997046,0.0,0.0,0.0,1.0
ABBFA_000009,ABBFA_000463,0.16301088523778962,0.16301088523778962,0.0,0.0,0.0,1.0
ABBFA_000009,hutI,0.1031707743338404,0.1031707743338404,0.0,0.0,1.746273367817635e-237,1.0
ABBFA_000010,ABBFA_000261,0.1079420204803104,0.1079420204803104,0.0,0.0,1.2487463980734391e-259,1.0
ABBFA_000010,ABBFA_000464,0.12112470086311598,0.12112470086311598,0.0,0.0,0.0,1.0
ABBFA_000010,ABBFA_000554,0.11276027649836172,0.11276027649836172,0.0,0.0,5.401714194321882e-283,1.0
ABBFA_000010,acsA,0.10028556756546343,0.10028556756546343,0.0,0.0,1.430824019737147e-224,1.0
ABBFA_000011,ABBFA_000268,-0.10651861479302092,-0.10651861479302092,0.0,0.0,1.3300254711385836e-237,1.0
ABBFA_000012,ABBFA_000397,0.12564486376468412,0.12564486376468412,0.0,0.0,0.0,1.0
ABBFA_000015,hutG,-0.10616326503232695,-0.10616326503232695,0.0,0.0,5.422222517389654e-236,1.0
ABBFA_000016,ABBFA_000017,0.19898892846486885,0.19898892846486885,0.0,0.0,0.0,1.0
ABBFA_000016,ABBFA_000057,0.11284277588479066,0.11284277588479066,0.0,0.0,2.107351441969206e-283,1.0
ABBFA_000016,ABBFA_000302,0.1314335761737991,0.1314335761737991,0.0,0.0,0.0,1.0
ABBFA_000016,ABBFA_000554,0.10964987452729556,0.10964987452729556,0.0,0.0,8.511262758285776e-268,1.0
ABBFA_000016,ABBFA_000660,0.10479377965000372,0.10479377965000372,0.0,0.0,6.600334806683257e-245,1.0
ABBFA_000016,ABBFA_003532,-0.1523684220736356,-0.1523684220736356,0.0,0.0,0.0,1.0
ABBFA_000017,ABBFA_000259,0.35306383219869275,0.35306383219869275,0.0,0.0,0.0,1.0
ABBFA_000017,ABBFA_000408,0.15336273576271123,0.15336273576271123,0.0,0.0,0.0,1.0
ABBFA_000017,ABBFA_000661,0.10676364051635322,0.10676364051635322,0.0,0.0,4.545069292451495e-254,1.0
ABBFA_000017,ABBFA_000673,0.1042366327053002,0.1042366327053002,0.0,0.0,2.4012595668558024e-242,1.0
ABBFA_000019,ABBFA_000504,0.11264719566863697,0.11264719566863697,0.0,0.0,1.9605699615379482e-282,1.0
ABBFA_000019,ABBFA_000597,0.11088471290454437,0.11088471290454437,0.0,0.0,8.844822467827447e-274,1.0
ABBFA_000022,ABBFA_000023,0.10256472986985202,0.10256472986985202,0.0,0.0,9.649742848935889e-235,1.0
ABBFA_000022,ABBFA_000245,0.10297735557438974,0.10297735557438974,0.0,0.0,1.3154559370726496e-236,1.0
ABBFA_000022,ABBFA_000652,0.1137125312066712,0.1137125312066712,0.0,0.0,9.909800779841344e-288,1.0
ABBFA_000023,ABBFA_000284,-0.10685938706513606,-0.10685938706513606,0.0,0.0,3.7537717729815896e-239,1.0
ABBFA_000023,ABBFA_000398,0.10274215502394293,0.10274215502394293,0.0,0.0,1.5250977289879175e-235,1.0
ABBFA_000023,ABBFA_000408,0.15355004111909154,0.15355004111909154,0.0,0.0,0.0,1.0
ABBFA_000023,ABBFA_000673,0.14605581222276473,0.14605581222276473,0.0,0.0,0.0,1.0
ABBFA_000023,ABBFA_000694,0.12278336107455798,0.12278336107455798,0.0,0.0,0.0,1.0
ABBFA_000023,ABBFA_000752,0.14238103685040573,0.14238103685040573,0.0,0.0,0.0,1.0
ABBFA_000031,ABBFA_000369,0.13388205972040373,0.13388205972040373,0.0,0.0,0.0,1.0
ABBFA_000031,ABBFA_000681,0.10859137112321712,0.10859137112321712,0.0,0.0,1.0147025423457977e-262,1.0
ABBFA_000033,ABBFA_000034,0.2908042500787465,0.2908042500787465,0.0,0.0,0.0,1.0
ABBFA_000033,ABBFA_000585,0.16350044848015388,0.16350044848015388,0.0,0.0,0.0,1.0
ABBFA_000037,phoB,0.10685802092765617,0.10685802092765617,0.0,0.0,1.6381380860544543e-254,1.0
ABBFA_000040,ABBFA_000041,0.26475492748967266,0.26475492748967266,0.0,0.0,0.0,1.0
ABBFA_000040,ABBFA_000362,0.10108785580258713,0.10108785580258713,0.0,0.0,3.989451889243052e-228,1.0
ABBFA_000040,ABBFA_000363,0.11181455285329066,0.11181455285329066,0.0,0.0,2.4983931112298883e-278,1.0
ABBFA_000041,ABBFA_000362,0.16801232501421265,0.16801232501421265,0.0,0.0,0.0,1.0
ABBFA_000041,ABBFA_000363,0.16896609345112762,0.16896609345112762,0.0,0.0,0.0,1.0
ABBFA_000052,ABBFA_000091,0.13195046330093807,0.13195046330093807,0.0,0.0,0.0,1.0
ABBFA_000052,ABBFA_000261,0.11856313606171373,0.11856313606171373,0.0,0.0,1.820315859323e-312,1.0
ABBFA_000052,ABBFA_000573,0.11923400126838336,0.11923400126838336,0.0,0.0,5.76906744e-316,1.0
ABBFA_000052,ABBFA_000656,0.10122732289912258,0.10122732289912258,0.0,0.0,9.552957297240675e-229,1.0
ABBFA_000052,ABBFA_000776,0.18441333790204173,0.18441333790204173,0.0,0.0,0.0,1.0
ABBFA_000057,ABBFA_000590,0.16072361597588983,0.16072361597588983,0.0,0.0,0.0,1.0
ABBFA_000064,ABBFA_000343,0.10652099653601031,0.10652099653601031,0.0,0.0,6.239849127085936e-253,1.0
ABBFA_000067,ABBFA_000070,0.3107901369680898,0.3107901369680898,0.0,0.0,0.0,1.0
ABBFA_000067,ABBFA_000352,0.14007481286716353,0.14007481286716353,0.0,0.0,0.0,1.0
ABBFA_000067,fahA,0.23183553336230847,0.23183553336230847,0.0,0.0,0.0,1.0
ABBFA_000067,maiA,0.3692054136050411,0.3692054136050411,0.0,0.0,0.0,1.0
ABBFA_000070,ABBFA_000084,-0.10498402947714729,-0.10498402947714729,0.0,0.0,1.093651645578644e-230,1.0
ABBFA_000070,ABBFA_000180,0.1001935366077662,0.1001935366077662,0.0,0.0,3.6438740061492386e-224,1.0
ABBFA_000070,ABBFA_000187,0.10399997673207709,0.10399997673207709,0.0,0.0,2.911653148474274e-241,1.0
ABBFA_000070,ABBFA_000263,0.153618849379714,0.153618849379714,0.0,0.0,0.0,1.0
ABBFA_000070,ABBFA_000266,0.10873873469624186,0.10873873469624186,0.0,0.0,2.0068846093466444e-263,1.0
ABBFA_000070,ABBFA_000388,0.21013633934157078,0.21013633934157078,0.0,0.0,0.0,1.0
ABBFA_000070,hppD,0.18479880396826834,0.18479880396826834,0.0,0.0,0.0,1.0
ABBFA_000071,ABBFA_000072,0.12825152791307534,0.12825152791307534,0.0,0.0,0.0,1.0
ABBFA_000071,ABBFA_000569,0.12246571965935067,0.12246571965935067,0.0,0.0,0.0,1.0
ABBFA_000071,ABBFA_000570,0.19132435643798562,0.19132435643798562,0.0,0.0,0.0,1.0
ABBFA_000072,ABBFA_000107,0.10169838869236134,0.10169838869236134,0.0,0.0,7.536574296192201e-231,1.0
ABBFA_000072,ABBFA_000268,0.11715651784346792,0.11715651784346792,0.0,0.0,3.4524600863408547e-305,1.0
ABBFA_000072,ABBFA_000570,0.2892329044577317,0.2892329044577317,0.0,0.0,0.0,1.0
ABBFA_000073,ABBFA_000667,0.11852211754521863,0.11852211754521863,0.0,0.0,2.97572634748e-312,1.0
ABBFA_000075,hutC,0.15265427133019843,0.15265427133019843,0.0,0.0,0.0,1.0
ABBFA_000078,ABBFA_000284,0.11325486275250668,0.11325486275250668,0.0,0.0,1.8940182574560843e-285,1.0
ABBFA_000078,ABBFA_000464,0.10967077215974881,0.10967077215974881,0.0,0.0,6.74971435698464e-268,1.0
ABBFA_000078,hutG,0.15058104665421787,0.15058104665421787,0.0,0.0,0.0,1.0
ABBFA_000078,hutH,0.4067933258870175,0.4067933258870175,0.0,0.0,0.0,1.0
ABBFA_000078,hutI,0.1406031152207684,0.1406031152207684,0.0,0.0,0.0,1.0
ABBFA_000081,ABBFA_000127,0.11430400063205903,0.11430400063205903,0.0,0.0,1.0823369372693701e-290,1.0
ABBFA_000084,ABBFA_000394,0.1037341600939657,0.1037341600939657,0.0,0.0,4.7696038484278257e-240,1.0
ABBFA_000084,ABBFA_000502,0.1429355285838744,0.1429355285838744,0.0,0.0,0.0,1.0
ABBFA_000090,ABBFA_000356,0.10262546582786984,0.10262546582786984,0.0,0.0,5.133306231050707e-235,1.0
ABBFA_000091,ABBFA_000357,0.10522608574023777,0.10522608574023777,0.0,0.0,6.656613230872594e-247,1.0
ABBFA_000091,ABBFA_000388,-0.1042000764972783,-0.1042000764972783,0.0,0.0,3.405014958097743e-227,1.0
ABBFA_000091,ABBFA_000613,0.21215823485939114,0.21215823485939114,0.0,0.0,0.0,1.0
ABBFA_000091,ABBFA_000720,0.16892966852315408,0.16892966852315408,0.0,0.0,0.0,1.0
ABBFA_000098,ABBFA_000463,0.10594478131912596,0.10594478131912596,0.0,0.0,3.065770348201209e-250,1.0
ABBFA_000098,ABBFA_000696,0.15673163312517144,0.15673163312517144,0.0,0.0,0.0,1.0
ABBFA_000098,parE,0.14237868267563025,0.14237868267563025,0.0,0.0,0.0,1.0
ABBFA_000107,ABBFA_000263,0.10779694572014256,0.10779694572014256,0.0,0.0,6.086430253189504e-259,1.0
ABBFA_000107,ABBFA_000459,0.12883363722473523,0.12883363722473523,0.0,0.0,0.0,1.0
ABBFA_000107,ABBFA_000666,-0.10667795108016857,-0.10667795108016857,0.0,0.0,2.5120605220032365e-238,1.0
ABBFA_000108,ABBFA_000254,0.10146409307554434,0.10146409307554434,0.0,0.0,8.401041161157982e-230,1.0
ABBFA_000108,ABBFA_000262,0.14435229750967896,0.14435229750967896,0.0,0.0,0.0,1.0
ABBFA_000108,ABBFA_000268,0.10555753763930815,0.10555753763930815,0.0,0.0,1.937260125521382e-248,1.0
ABBFA_000108,ABBFA_000310,0.11628062784853084,0.11628062784853084,0.0,0.0,1.0636449974946303e-300,1.0
ABBFA_000108,ABBFA_000371,-0.137032453550417,-0.137032453550417,0.0,0.0,0.0,1.0
ABBFA_000108,ABBFA_000398,0.1029663533999466,0.1029663533999466,0.0,0.0,1.4754064480945504e-236,1.0
ABBFA_000108,ABBFA_000573,0.10180983926981889,0.10180983926981889,0.0,0.0,2.3890405207082434e-231,1.0
ABBFA_000113,ABBFA_000164,0.11815576094255614,0.11815576094255614,0.0,0.0,2.380985998033e-310,1.0
ABBFA_000113,hutU,-0.10534019738389873,-0.10534019738389873,0.0,0.0,2.773511691413481e-232,1.0
ABBFA_000121,ABBFA_000254,0.13667049581456253,0.13667049581456253,0.0,0.0,0.0,1.0
ABBFA_000121,ABBFA_003544,0.10028713470472343,0.10028713470472343,0.0,0.0,1.4082180588759523e-224,1.0
ABBFA_000123,ABBFA_000395,0.3114619160780666,0.3114619160780666,0.0,0.0,0.0,1.0
ABBFA_000123,ABBFA_000756,0.1041211213061801,0.1041211213061801,0.0,0.0,8.122589102294649e-242,1.0
ABBFA_000123,parE,0.15197860883582942,0.15197860883582942,0.0,0.0,0.0,1.0
ABBFA_000127,ABBFA_000129,0.3002669092093744,0.3002669092093744,0.0,0.0,0.0,1.0
ABBFA_000127,ABBFA_000131,0.14246913691688337,0.14246913691688337,0.0,0.0,0.0,1.0
ABBFA_000127,ABBFA_000132,0.12538306014575426,0.12538306014575426,0.0,0.0,0.0,1.0
ABBFA_000127,allC,0.11330574603380558,0.11330574603380558,0.0,0.0,1.0572960151754806e-285,1.0
