gene,module_id
ABBFA_000467,266
ABBFA_000468,267
ABBFA_000709,268
rpmJ,269
ABBFA_000545,270
ABBFA_000492,271
ABBFA_000782,272
ABBFA_000750,273
ABBFA_000503,274
ABBFA_000506,275
ABBFA_000507,276
ABBFA_000508,277
ABBFA_000510,278
ABBFA_000511,279
ABBFA_000515,280
rpmA,281
ABBFA_000575,282
ABBFA_000619,283
ABBFA_000612,284
ABBFA_000648,285
ABBFA_000705,286
dapE,287
rpsP,288
ABBFA_000711,289
ABBFA_000712,290
ABBFA_000731,291
ABBFA_000732,292
ABBFA_000733,293
ABBFA_000734,294
ABBFA_000747,295
ABBFA_000748,296
ABBFA_000751,297
dnaJ,298
ABBFA_000766,299
ABBFA_000767,300
ABBFA_000785,301
trpA,302
aceE,303
aceF,304
lpdA,305
sucB,306
uvrA,307
rimM,308
trmD,309
rplM,310
rplS,311
rpsJ,312
rplU,313
rpmD,314
sdhC,315
sdhD,316
