term,term_size,overlap_size,gene_count,query_size,background_size,pvalue,overlap_genes,qvalue,score,rich_factor,gene_ratio,neg_log10_qvalue
 carbon-nitrogen lyase activity (GO:0016840),3,1,1,3,706,0.01271172829189977,hutH,0.21609938096229608,0.6653464771937784,0.3333333333333333,0.3333333333333333,0.6653464771937784
 lyase activity (GO:0016829),9,1,1,3,706,0.03781109418578528,hutH,0.3213943005791749,0.4929618290317949,0.1111111111111111,0.3333333333333333,0.4929618290317949
 amino acid metabolic process (GO:0006520),33,1,1,3,706,0.13395515641010186,hutH,0.5818449054160435,0.23519276397275127,0.030303030303030304,0.3333333333333333,0.23519276397275127
 carboxylic acid metabolic process (GO:0019752),51,1,1,3,706,0.20170069273593025,hutH,0.5818449054160435,0.23519276397275127,0.0196078431372549,0.3333333333333333,0.23519276397275127
 oxoacid metabolic process (GO:0043436),51,1,1,3,706,0.20170069273593025,hutH,0.5818449054160435,0.23519276397275127,0.0196078431372549,0.3333333333333333,0.23519276397275127
 obsolete organic acid metabolic process (GO:0006082),52,1,1,3,706,0.20535702544095655,hutH,0.5818449054160435,0.23519276397275127,0.019230769230769232,0.3333333333333333,0.23519276397275127
 small molecule metabolic process (GO:0044281),73,1,1,3,706,0.2795834680357916,hutH,0.6101894647152618,0.2145352949819197,0.0136986301369863,0.3333333333333333,0.2145352949819197
molecular_function (GO:0003674),98,1,1,3,706,0.36173883978717936,hutH,0.6101894647152618,0.2145352949819197,0.01020408163265306,0.3333333333333333,0.2145352949819197
 obsolete organonitrogen compound metabolic process (GO:1901564),107,1,1,3,706,0.38971055295587426,hutH,0.6101894647152618,0.2145352949819197,0.009345794392523364,0.3333333333333333,0.2145352949819197
 catalytic activity (GO:0003824),121,1,1,3,706,0.43157811464046764,hutH,0.6101894647152618,0.2145352949819197,0.008264462809917356,0.3333333333333333,0.2145352949819197
 obsolete nitrogen compound metabolic process (GO:0006807),137,1,1,3,706,0.47702950942734557,hutH,0.6101894647152618,0.2145352949819197,0.0072992700729927005,0.3333333333333333,0.2145352949819197
 primary metabolic process (GO:0044238),138,1,1,3,706,0.4797868230859008,hutH,0.6101894647152618,0.2145352949819197,0.007246376811594203,0.3333333333333333,0.2145352949819197
 obsolete organic substance metabolic process (GO:0071704),154,1,1,3,706,0.5225950816707855,hutH,0.6101894647152618,0.2145352949819197,0.006493506493506494,0.3333333333333333,0.2145352949819197
 obsolete cellular metabolic process (GO:0044237),159,1,1,3,706,0.5354740350737804,hutH,0.6101894647152618,0.2145352949819197,0.006289308176100629,0.3333333333333333,0.2145352949819197
 metabolic process (GO:0008152),163,1,1,3,706,0.5456088083078998,hutH,0.6101894647152618,0.2145352949819197,0.006134969325153374,0.3333333333333333,0.2145352949819197
 cellular process (GO:0009987),175,1,1,3,706,0.5751265575257123,hutH,0.6101894647152618,0.2145352949819197,0.005714285714285714,0.3333333333333333,0.2145352949819197
 biological_process (GO:0008150),190,1,1,3,706,0.6101894647152618,hutH,0.6101894647152618,0.2145352949819197,0.005263157894736842,0.3333333333333333,0.2145352949819197
