term,term_size,overlap_size,gene_count,query_size,background_size,pvalue,overlap_genes,qvalue,score,rich_factor,gene_ratio,neg_log10_qvalue
 NAD binding (GO:0051287),3,1,1,3,706,0.01271172829189977,ABBFA_000127,0.1645492695930433,0.7837040411266107,0.3333333333333333,0.3333333333333333,0.7837040411266107
 flavin adenine dinucleotide binding (GO:0050660),3,1,1,3,706,0.01271172829189977,ABBFA_000127,0.1645492695930433,0.7837040411266107,0.3333333333333333,0.3333333333333333,0.7837040411266107
 obsolete aromatic compound catabolic process (GO:0019439),5,1,1,3,706,0.02112608287077879,ABBFA_000127,0.1645492695930433,0.7837040411266107,0.2,0.3333333333333333,0.7837040411266107
 obsolete cellular nitrogen compound catabolic process (GO:0044270),5,1,1,3,706,0.02112608287077879,ABBFA_000127,0.1645492695930433,0.7837040411266107,0.2,0.3333333333333333,0.7837040411266107
 obsolete heterocycle catabolic process (GO:0046700),5,1,1,3,706,0.02112608287077879,ABBFA_000127,0.1645492695930433,0.7837040411266107,0.2,0.3333333333333333,0.7837040411266107
 obsolete organic cyclic compound catabolic process (GO:1901361),6,1,1,3,706,0.025315272245083585,ABBFA_000127,0.1645492695930433,0.7837040411266107,0.16666666666666666,0.3333333333333333,0.7837040411266107
 purine-containing compound metabolic process (GO:0072521),8,1,1,3,706,0.033657760779392996,ABBFA_000127,0.1875218100566181,0.7269482136088503,0.125,0.3333333333333333,0.7269482136088503
 obsolete organonitrogen compound catabolic process (GO:1901565),10,1,1,3,706,0.041952509849261105,ABBFA_000127,0.19181120818344838,0.7171260191152808,0.1,0.3333333333333333,0.7171260191152808
 obsolete coenzyme binding (GO:0050662),11,1,1,3,706,0.04608202489301428,ABBFA_000127,0.19181120818344838,0.7171260191152808,0.09090909090909091,0.3333333333333333,0.7171260191152808
 small molecule catabolic process (GO:0044282),12,1,1,3,706,0.05019965644023869,ABBFA_000127,0.19181120818344838,0.7171260191152808,0.08333333333333333,0.3333333333333333,0.7171260191152808
 catabolic process (GO:0009056),17,1,1,3,706,0.07061016104021349,ABBFA_000127,0.19181120818344838,0.7171260191152808,0.058823529411764705,0.3333333333333333,0.7171260191152808
 obsolete cellular catabolic process (GO:0044248),17,1,1,3,706,0.07061016104021349,ABBFA_000127,0.19181120818344838,0.7171260191152808,0.058823529411764705,0.3333333333333333,0.7171260191152808
 obsolete cofactor binding (GO:0048037),17,1,1,3,706,0.07061016104021349,ABBFA_000127,0.19181120818344838,0.7171260191152808,0.058823529411764705,0.3333333333333333,0.7171260191152808
 obsolete organic substance catabolic process (GO:1901575),17,1,1,3,706,0.07061016104021349,ABBFA_000127,0.19181120818344838,0.7171260191152808,0.058823529411764705,0.3333333333333333,0.7171260191152808
nucleotide binding (GO:0000166),18,1,1,3,706,0.07465685119533592,ABBFA_000127,0.19181120818344838,0.7171260191152808,0.05555555555555555,0.3333333333333333,0.7171260191152808
 nucleoside phosphate binding (GO:1901265),19,1,1,3,706,0.0786917777162865,ABBFA_000127,0.19181120818344838,0.7171260191152808,0.05263157894736842,0.3333333333333333,0.7171260191152808
 oxidoreductase activity (GO:0016491),21,1,1,3,706,0.08672640834844743,ABBFA_000127,0.19896058385820292,0.701232953280824,0.047619047619047616,0.3333333333333333,0.701232953280824
 obsolete oxidation-reduction process (GO:0055114),25,1,1,3,706,0.10265525942323604,ABBFA_000127,0.22241972875034474,0.6528266932257655,0.04,0.3333333333333333,0.6528266932257655
 anion binding (GO:0043168),27,1,1,3,706,0.11054975383696528,ABBFA_000127,0.22323517747847965,0.6512373680632227,0.037037037037037035,0.3333333333333333,0.6512373680632227
 small molecule binding (GO:0036094),28,1,1,3,706,0.11447957819409212,ABBFA_000127,0.22323517747847965,0.6512373680632227,0.03571428571428571,0.3333333333333333,0.6512373680632227
 obsolete organic acid metabolic process (GO:0006082),52,1,1,3,706,0.20535702544095655,ABBFA_000127,0.3514208804849014,0.4541724374623505,0.019230769230769232,0.3333333333333333,0.4541724374623505
 heterocyclic compound binding (GO:1901363),53,1,1,3,706,0.20900217670040167,ABBFA_000127,0.3514208804849014,0.4541724374623505,0.018867924528301886,0.3333333333333333,0.4541724374623505
 obsolete organic cyclic compound binding (GO:0097159),53,1,1,3,706,0.20900217670040167,ABBFA_000127,0.3514208804849014,0.4541724374623505,0.018867924528301886,0.3333333333333333,0.4541724374623505
 ion binding (GO:0043167),55,1,1,3,706,0.21625900337532394,ABBFA_000127,0.3514208804849014,0.4541724374623505,0.01818181818181818,0.3333333333333333,0.4541724374623505
 small molecule metabolic process (GO:0044281),73,1,1,3,706,0.2795834680357916,ABBFA_000127,0.42239401623631023,0.3742822427800171,0.0136986301369863,0.3333333333333333,0.3742822427800171
 obsolete cellular aromatic compound metabolic process (GO:0006725),77,1,1,3,706,0.29317589355674767,ABBFA_000127,0.42239401623631023,0.3742822427800171,0.012987012987012988,0.3333333333333333,0.3742822427800171
 obsolete heterocycle metabolic process (GO:0046483),77,1,1,3,706,0.29317589355674767,ABBFA_000127,0.42239401623631023,0.3742822427800171,0.012987012987012988,0.3333333333333333,0.3742822427800171
 obsolete organic cyclic compound metabolic process (GO:1901360),80,1,1,3,706,0.3032572424260689,ABBFA_000127,0.42239401623631023,0.3742822427800171,0.0125,0.3333333333333333,0.3742822427800171
 molecular_function (GO:0003674),89,1,1,3,706,0.33292523054668194,ABBFA_000127,0.4477270341834688,0.3489866817116277,0.011235955056179775,0.3333333333333333,0.3489866817116277
 binding (GO:0005488),99,1,1,3,706,0.3648881547224399,ABBFA_000127,0.4743546011391718,0.3238968824983692,0.010101010101010102,0.3333333333333333,0.3238968824983692
 obsolete organonitrogen compound metabolic process (GO:1901564),107,1,1,3,706,0.38971055295587426,ABBFA_000127,0.4823975975217259,0.31659486377349283,0.009345794392523364,0.3333333333333333,0.31659486377349283
 obsolete cellular nitrogen compound metabolic process (GO:0034641),109,1,1,3,706,0.3958134133511597,ABBFA_000127,0.4823975975217259,0.31659486377349283,0.009174311926605505,0.3333333333333333,0.31659486377349283
 catalytic activity (GO:0003824),121,1,1,3,706,0.43157811464046764,ABBFA_000127,0.5100468627569164,0.29238991938886344,0.008264462809917356,0.3333333333333333,0.29238991938886344
 obsolete nitrogen compound metabolic process (GO:0006807),137,1,1,3,706,0.47702950942734557,ABBFA_000127,0.5471809078725435,0.26186906434030677,0.0072992700729927005,0.3333333333333333,0.26186906434030677
 obsolete organic substance metabolic process (GO:0071704),154,1,1,3,706,0.5225950816707855,ABBFA_000127,0.575101176324543,0.24025574408592043,0.006493506493506494,0.3333333333333333,0.24025574408592043
 obsolete cellular metabolic process (GO:0044237),159,1,1,3,706,0.5354740350737804,ABBFA_000127,0.575101176324543,0.24025574408592043,0.006289308176100629,0.3333333333333333,0.24025574408592043
 metabolic process (GO:0008152),163,1,1,3,706,0.5456088083078998,ABBFA_000127,0.575101176324543,0.24025574408592043,0.006134969325153374,0.3333333333333333,0.24025574408592043
 cellular process (GO:0009987),175,1,1,3,706,0.5751265575257123,ABBFA_000127,0.5902614669342837,0.22895556718373725,0.005714285714285714,0.3333333333333333,0.22895556718373725
 biological_process (GO:0008150),190,1,1,3,706,0.6101894647152618,ABBFA_000127,0.6101894647152618,0.2145352949819197,0.005263157894736842,0.3333333333333333,0.2145352949819197
