term,term_size,overlap_size,gene_count,query_size,background_size,pvalue,overlap_genes,qvalue,score,rich_factor,gene_ratio,neg_log10_qvalue
 outer membrane-bounded periplasmic space (GO:0030288),3,1,1,3,706,0.01271172829189977,ABBFA_000310,0.06487881116633151,1.1878971166981405,0.3333333333333333,0.3333333333333333,1.1878971166981405
 periplasmic space (GO:0042597),3,1,1,3,706,0.01271172829189977,ABBFA_000310,0.06487881116633151,1.1878971166981405,0.3333333333333333,0.3333333333333333,1.1878971166981405
 sulfur compound transport (GO:0072348),3,1,1,3,706,0.01271172829189977,ABBFA_000310,0.06487881116633151,1.1878971166981405,0.3333333333333333,0.3333333333333333,1.1878971166981405
 cell envelope (GO:0030313),4,1,1,3,706,0.016924907260782135,ABBFA_000310,0.06487881116633151,1.1878971166981405,0.25,0.3333333333333333,1.1878971166981405
 monoatomic anion transport (GO:0006820),4,1,1,3,706,0.016924907260782135,ABBFA_000310,0.06487881116633151,1.1878971166981405,0.25,0.3333333333333333,1.1878971166981405
 obsolete envelope (GO:0031975),4,1,1,3,706,0.016924907260782135,ABBFA_000310,0.06487881116633151,1.1878971166981405,0.25,0.3333333333333333,1.1878971166981405
 sulfur compound binding (GO:1901681),5,1,1,3,706,0.02112608287077879,ABBFA_000310,0.06941427228970173,1.1585512249429426,0.2,0.3333333333333333,1.1585512249429426
 monoatomic ion transport (GO:0006811),9,1,1,3,706,0.03781109418578528,ABBFA_000310,0.10870689578413269,0.9637429057204384,0.1111111111111111,0.3333333333333333,0.9637429057204384
 sulfur compound metabolic process (GO:0006790),12,1,1,3,706,0.05019965644023869,ABBFA_000310,0.1282880109028322,0.8918139285201213,0.08333333333333333,0.3333333333333333,0.8918139285201213
 establishment of localization (GO:0051234),21,1,1,3,706,0.08672640834844743,ABBFA_000310,0.1662256160011909,0.7793020489590813,0.047619047619047616,0.3333333333333333,0.7793020489590813
 localization (GO:0051179),21,1,1,3,706,0.08672640834844743,ABBFA_000310,0.1662256160011909,0.7793020489590813,0.047619047619047616,0.3333333333333333,0.7793020489590813
 transport (GO:0006810),21,1,1,3,706,0.08672640834844743,ABBFA_000310,0.1662256160011909,0.7793020489590813,0.047619047619047616,0.3333333333333333,0.7793020489590813
 anion binding (GO:0043168),27,1,1,3,706,0.11054975383696528,ABBFA_000310,0.19558802601924627,0.7086577364244131,0.037037037037037035,0.3333333333333333,0.7086577364244131
 ion binding (GO:0043167),55,1,1,3,706,0.21625900337532394,ABBFA_000310,0.3552826484023179,0.4494260024378888,0.01818181818181818,0.3333333333333333,0.4494260024378888
molecular_function (GO:0003674),98,1,1,3,706,0.36173883978717936,ABBFA_000310,0.5245267224135074,0.28023238144353774,0.01020408163265306,0.3333333333333333,0.28023238144353774
 binding (GO:0005488),99,1,1,3,706,0.3648881547224399,ABBFA_000310,0.5245267224135074,0.28023238144353774,0.010101010101010102,0.3333333333333333,0.28023238144353774
 cellular_component (GO:0005575),150,1,1,3,706,0.5121221938509927,ABBFA_000310,0.601268673776881,0.22093142239803973,0.006666666666666667,0.3333333333333333,0.22093142239803973
 obsolete cellular metabolic process (GO:0044237),159,1,1,3,706,0.5354740350737804,ABBFA_000310,0.601268673776881,0.22093142239803973,0.006289308176100629,0.3333333333333333,0.22093142239803973
 metabolic process (GO:0008152),163,1,1,3,706,0.5456088083078998,ABBFA_000310,0.601268673776881,0.22093142239803973,0.006134969325153374,0.3333333333333333,0.22093142239803973
 obsolete cell (GO:0005623),173,1,1,3,706,0.5702984846658375,ABBFA_000310,0.601268673776881,0.22093142239803973,0.005780346820809248,0.3333333333333333,0.22093142239803973
 obsolete cell part (GO:0044464),173,1,1,3,706,0.5702984846658375,ABBFA_000310,0.601268673776881,0.22093142239803973,0.005780346820809248,0.3333333333333333,0.22093142239803973
 cellular process (GO:0009987),175,1,1,3,706,0.5751265575257123,ABBFA_000310,0.601268673776881,0.22093142239803973,0.005714285714285714,0.3333333333333333,0.22093142239803973
 biological_process (GO:0008150),190,1,1,3,706,0.6101894647152618,ABBFA_000310,0.6101894647152618,0.2145352949819197,0.005263157894736842,0.3333333333333333,0.2145352949819197
