term,term_size,overlap_size,gene_count,query_size,background_size,pvalue,overlap_genes,qvalue,score,rich_factor,gene_ratio,neg_log10_qvalue
 nucleoside bisphosphate metabolic process (GO:0033865),4,1,1,3,706,0.016924907260782135,acsA,0.14466853427604803,0.8396259186135119,0.25,0.3333333333333333,0.8396259186135119
 peptidyl-amino acid modification (GO:0018193),4,1,1,3,706,0.016924907260782135,acsA,0.14466853427604803,0.8396259186135119,0.25,0.3333333333333333,0.8396259186135119
 purine nucleoside bisphosphate metabolic process (GO:0034032),4,1,1,3,706,0.016924907260782135,acsA,0.14466853427604803,0.8396259186135119,0.25,0.3333333333333333,0.8396259186135119
 purine nucleotide biosynthetic process (GO:0006164),4,1,1,3,706,0.016924907260782135,acsA,0.14466853427604803,0.8396259186135119,0.25,0.3333333333333333,0.8396259186135119
 purine ribonucleotide biosynthetic process (GO:0009152),4,1,1,3,706,0.016924907260782135,acsA,0.14466853427604803,0.8396259186135119,0.25,0.3333333333333333,0.8396259186135119
 purine-containing compound biosynthetic process (GO:0072522),4,1,1,3,706,0.016924907260782135,acsA,0.14466853427604803,0.8396259186135119,0.25,0.3333333333333333,0.8396259186135119
 ribonucleoside bisphosphate metabolic process (GO:0033875),4,1,1,3,706,0.016924907260782135,acsA,0.14466853427604803,0.8396259186135119,0.25,0.3333333333333333,0.8396259186135119
 ribonucleotide biosynthetic process (GO:0009260),5,1,1,3,706,0.02112608287077879,acsA,0.14466853427604803,0.8396259186135119,0.2,0.3333333333333333,0.8396259186135119
 ribose phosphate biosynthetic process (GO:0046390),5,1,1,3,706,0.02112608287077879,acsA,0.14466853427604803,0.8396259186135119,0.2,0.3333333333333333,0.8396259186135119
 purine nucleotide metabolic process (GO:0006163),7,1,1,3,706,0.029492492506890382,acsA,0.14466853427604803,0.8396259186135119,0.14285714285714285,0.3333333333333333,0.8396259186135119
 purine ribonucleotide metabolic process (GO:0009150),7,1,1,3,706,0.029492492506890382,acsA,0.14466853427604803,0.8396259186135119,0.14285714285714285,0.3333333333333333,0.8396259186135119
" catalytic activity, acting on a protein (GO:0140096)",8,1,1,3,706,0.033657760779392996,acsA,0.14466853427604803,0.8396259186135119,0.125,0.3333333333333333,0.8396259186135119
 nucleoside phosphate biosynthetic process (GO:1901293),8,1,1,3,706,0.033657760779392996,acsA,0.14466853427604803,0.8396259186135119,0.125,0.3333333333333333,0.8396259186135119
 nucleotide biosynthetic process (GO:0009165),8,1,1,3,706,0.033657760779392996,acsA,0.14466853427604803,0.8396259186135119,0.125,0.3333333333333333,0.8396259186135119
 purine-containing compound metabolic process (GO:0072521),8,1,1,3,706,0.033657760779392996,acsA,0.14466853427604803,0.8396259186135119,0.125,0.3333333333333333,0.8396259186135119
 ribonucleotide metabolic process (GO:0009259),8,1,1,3,706,0.033657760779392996,acsA,0.14466853427604803,0.8396259186135119,0.125,0.3333333333333333,0.8396259186135119
 ribose phosphate metabolic process (GO:0019693),8,1,1,3,706,0.033657760779392996,acsA,0.14466853427604803,0.8396259186135119,0.125,0.3333333333333333,0.8396259186135119
 sulfur compound biosynthetic process (GO:0044272),8,1,1,3,706,0.033657760779392996,acsA,0.14466853427604803,0.8396259186135119,0.125,0.3333333333333333,0.8396259186135119
 GO:0006464,9,1,1,3,706,0.03781109418578528,acsA,0.14466853427604803,0.8396259186135119,0.1111111111111111,0.3333333333333333,0.8396259186135119
 antibiotic metabolic process (GO:0016999),9,1,1,3,706,0.03781109418578528,acsA,0.14466853427604803,0.8396259186135119,0.1111111111111111,0.3333333333333333,0.8396259186135119
 carboxylic acid catabolic process (GO:0046395),9,1,1,3,706,0.03781109418578528,acsA,0.14466853427604803,0.8396259186135119,0.1111111111111111,0.3333333333333333,0.8396259186135119
 obsolete organic acid catabolic process (GO:0016054),9,1,1,3,706,0.03781109418578528,acsA,0.14466853427604803,0.8396259186135119,0.1111111111111111,0.3333333333333333,0.8396259186135119
 protein modification process (GO:0036211),9,1,1,3,706,0.03781109418578528,acsA,0.14466853427604803,0.8396259186135119,0.1111111111111111,0.3333333333333333,0.8396259186135119
 obsolete coenzyme biosynthetic process (GO:0009108),10,1,1,3,706,0.041952509849261105,acsA,0.1472523255580335,0.8319378376678831,0.1,0.3333333333333333,0.8319378376678831
 nucleoside phosphate metabolic process (GO:0006753),11,1,1,3,706,0.04608202489301428,acsA,0.1472523255580335,0.8319378376678831,0.09090909090909091,0.3333333333333333,0.8319378376678831
 nucleotide metabolic process (GO:0009117),11,1,1,3,706,0.04608202489301428,acsA,0.1472523255580335,0.8319378376678831,0.09090909090909091,0.3333333333333333,0.8319378376678831
 monocarboxylic acid metabolic process (GO:0032787),12,1,1,3,706,0.05019965644023869,acsA,0.1472523255580335,0.8319378376678831,0.08333333333333333,0.3333333333333333,0.8319378376678831
 obsolete coenzyme metabolic process (GO:0006732),12,1,1,3,706,0.05019965644023869,acsA,0.1472523255580335,0.8319378376678831,0.08333333333333333,0.3333333333333333,0.8319378376678831
 small molecule catabolic process (GO:0044282),12,1,1,3,706,0.05019965644023869,acsA,0.1472523255580335,0.8319378376678831,0.08333333333333333,0.3333333333333333,0.8319378376678831
 sulfur compound metabolic process (GO:0006790),12,1,1,3,706,0.05019965644023869,acsA,0.1472523255580335,0.8319378376678831,0.08333333333333333,0.3333333333333333,0.8319378376678831
 obsolete cofactor biosynthetic process (GO:0051188),13,1,1,3,706,0.054305421614128144,acsA,0.15415732587236375,0.8120358318823723,0.07692307692307693,0.3333333333333333,0.8120358318823723
