term,term_size,overlap_size,gene_count,query_size,background_size,pvalue,overlap_genes,qvalue,score,rich_factor,gene_ratio,neg_log10_qvalue
 organophosphate biosynthetic process (GO:0090407),16,1,1,3,706,0.06655169012772533,acsA,0.1679376803118591,0.7748518499278347,0.0625,0.3333333333333333,0.7748518499278347
 carbohydrate derivative biosynthetic process (GO:1901137),17,1,1,3,706,0.07061016104021349,acsA,0.1679376803118591,0.7748518499278347,0.058823529411764705,0.3333333333333333,0.7748518499278347
 catabolic process (GO:0009056),17,1,1,3,706,0.07061016104021349,acsA,0.1679376803118591,0.7748518499278347,0.058823529411764705,0.3333333333333333,0.7748518499278347
 obsolete cellular catabolic process (GO:0044248),17,1,1,3,706,0.07061016104021349,acsA,0.1679376803118591,0.7748518499278347,0.058823529411764705,0.3333333333333333,0.7748518499278347
 obsolete cofactor metabolic process (GO:0051186),17,1,1,3,706,0.07061016104021349,acsA,0.1679376803118591,0.7748518499278347,0.058823529411764705,0.3333333333333333,0.7748518499278347
 obsolete organic substance catabolic process (GO:1901575),17,1,1,3,706,0.07061016104021349,acsA,0.1679376803118591,0.7748518499278347,0.058823529411764705,0.3333333333333333,0.7748518499278347
 nucleobase-containing small molecule metabolic process (GO:0055086),18,1,1,3,706,0.07465685119533592,acsA,0.1728895501365674,0.7622312557438689,0.05555555555555555,0.3333333333333333,0.7622312557438689
 GO:0017144,19,1,1,3,706,0.0786917777162865,acsA,0.17330753047406652,0.7611825661246328,0.05263157894736842,0.3333333333333333,0.7611825661246328
 ligase activity (GO:0016874),20,1,1,3,706,0.08271495772625903,acsA,0.17330753047406652,0.7611825661246328,0.05,0.3333333333333333,0.7611825661246328
 macromolecule modification (GO:0043412),20,1,1,3,706,0.08271495772625903,acsA,0.17330753047406652,0.7611825661246328,0.05,0.3333333333333333,0.7611825661246328
 organophosphate metabolic process (GO:0019637),20,1,1,3,706,0.08271495772625903,acsA,0.17330753047406652,0.7611825661246328,0.05,0.3333333333333333,0.7611825661246328
 nucleobase-containing compound biosynthetic process (GO:0034654),21,1,1,3,706,0.08672640834844743,acsA,0.17748660313170636,0.7508344223584672,0.047619047619047616,0.3333333333333333,0.7508344223584672
 carbohydrate derivative metabolic process (GO:1901135),25,1,1,3,706,0.10265525942323604,acsA,0.20531051884647208,0.6875887994849774,0.04,0.3333333333333333,0.6875887994849774
 phosphate-containing compound metabolic process (GO:0006796),28,1,1,3,706,0.11447957819409212,acsA,0.22387117513511348,0.6500018210509159,0.03571428571428571,0.3333333333333333,0.6500018210509159
 phosphorus metabolic process (GO:0006793),29,1,1,3,706,0.11839781014898551,acsA,0.22650015854588534,0.6449314896530078,0.034482758620689655,0.3333333333333333,0.6449314896530078
 obsolete aromatic compound biosynthetic process (GO:0019438),32,1,1,3,706,0.1300831228322037,acsA,0.24355988955816862,0.613394231547589,0.03125,0.3333333333333333,0.613394231547589
 obsolete heterocycle biosynthetic process (GO:0018130),33,1,1,3,706,0.13395515641010186,acsA,0.2455844534185201,0.6097991294211546,0.030303030303030304,0.3333333333333333,0.6097991294211546
 obsolete organic cyclic compound biosynthetic process (GO:1901362),35,1,1,3,706,0.14166472033029956,acsA,0.25441827324625227,0.5944516992932312,0.02857142857142857,0.3333333333333333,0.5944516992932312
 hydrolase activity (GO:0016787),38,1,1,3,706,0.15314306496950705,acsA,0.2695317943463324,0.5693899974727009,0.02631578947368421,0.3333333333333333,0.5693899974727009
 obsolete amide biosynthetic process (GO:0043604),47,1,1,3,706,0.18696320499613703,acsA,0.3226031772482364,0.49133135965449154,0.02127659574468085,0.3333333333333333,0.49133135965449154
 obsolete amide metabolic process (GO:0043603),50,1,1,3,706,0.19803316146212901,acsA,0.32267002718658505,0.49124137432968734,0.02,0.3333333333333333,0.49124137432968734
 GO:0044267,51,1,1,3,706,0.20170069273593025,acsA,0.32267002718658505,0.49124137432968734,0.0196078431372549,0.3333333333333333,0.49124137432968734
 carboxylic acid metabolic process (GO:0019752),51,1,1,3,706,0.20170069273593025,acsA,0.32267002718658505,0.49124137432968734,0.0196078431372549,0.3333333333333333,0.49124137432968734
 oxoacid metabolic process (GO:0043436),51,1,1,3,706,0.20170069273593025,acsA,0.32267002718658505,0.49124137432968734,0.0196078431372549,0.3333333333333333,0.49124137432968734
 obsolete organic acid metabolic process (GO:0006082),52,1,1,3,706,0.20535702544095655,acsA,0.32267002718658505,0.49124137432968734,0.019230769230769232,0.3333333333333333,0.49124137432968734
 protein metabolic process (GO:0019538),53,1,1,3,706,0.20900217670040167,acsA,0.32267002718658505,0.49124137432968734,0.018867924528301886,0.3333333333333333,0.49124137432968734
 nucleobase-containing compound metabolic process (GO:0006139),61,1,1,3,706,0.23776290951830398,acsA,0.3607437247863923,0.4428012148133898,0.01639344262295082,0.3333333333333333,0.4428012148133898
 small molecule metabolic process (GO:0044281),73,1,1,3,706,0.2795834680357916,acsA,0.4150633877805236,0.38188557350210955,0.0136986301369863,0.3333333333333333,0.38188557350210955
 obsolete cellular nitrogen compound biosynthetic process (GO:0044271),74,1,1,3,706,0.28299776439581154,acsA,0.4150633877805236,0.38188557350210955,0.013513513513513514,0.3333333333333333,0.38188557350210955
 obsolete cellular aromatic compound metabolic process (GO:0006725),77,1,1,3,706,0.29317589355674767,acsA,0.4161206231128031,0.3807807598567947,0.012987012987012988,0.3333333333333333,0.3807807598567947
 obsolete heterocycle metabolic process (GO:0046483),77,1,1,3,706,0.29317589355674767,acsA,0.4161206231128031,0.3807807598567947,0.012987012987012988,0.3333333333333333,0.3807807598567947
 obsolete organic cyclic compound metabolic process (GO:1901360),80,1,1,3,706,0.3032572424260689,acsA,0.4235974179919692,0.3730466957677102,0.0125,0.3333333333333333,0.3730466957677102
 obsolete cellular macromolecule metabolic process (GO:0044260),83,1,1,3,706,0.3132422733300092,acsA,0.43070812582876267,0.36581693467040927,0.012048192771084338,0.3333333333333333,0.36581693467040927
 obsolete organonitrogen compound biosynthetic process (GO:1901566),85,1,1,3,706,0.3198456789277867,acsA,0.43302184224069584,0.3634901966596605,0.011764705882352941,0.3333333333333333,0.3634901966596605
 macromolecule metabolic process (GO:0043170),92,1,1,3,706,0.3426240815118822,acsA,0.45683210868250956,0.34024337907575686,0.010869565217391304,0.3333333333333333,0.34024337907575686
molecular_function (GO:0003674),98,1,1,3,706,0.36173883978717936,acsA,0.4751196701682356,0.32319698922153184,0.01020408163265306,0.3333333333333333,0.32319698922153184
 biosynthetic process (GO:0009058),106,1,1,3,706,0.38664377181494897,acsA,0.4830215304241822,0.31603351037475175,0.009433962264150943,0.3333333333333333,0.31603351037475175
 obsolete cellular biosynthetic process (GO:0044249),106,1,1,3,706,0.38664377181494897,acsA,0.4830215304241822,0.31603351037475175,0.009433962264150943,0.3333333333333333,0.31603351037475175
 obsolete organic substance biosynthetic process (GO:1901576),106,1,1,3,706,0.38664377181494897,acsA,0.4830215304241822,0.31603351037475175,0.009433962264150943,0.3333333333333333,0.31603351037475175
 obsolete organonitrogen compound metabolic process (GO:1901564),107,1,1,3,706,0.38971055295587426,acsA,0.4830215304241822,0.31603351037475175,0.009345794392523364,0.3333333333333333,0.31603351037475175
 obsolete cellular nitrogen compound metabolic process (GO:0034641),109,1,1,3,706,0.3958134133511597,acsA,0.4837719496514174,0.3153593167611859,0.009174311926605505,0.3333333333333333,0.3153593167611859
 cytosol (GO:0005829),115,1,1,3,706,0.41387761231445314,acsA,0.4957169061050684,0.3047662695093351,0.008695652173913044,0.3333333333333333,0.3047662695093351
 obsolete cytoplasmic part (GO:0044444),116,1,1,3,706,0.41685285286108026,acsA,0.4957169061050684,0.3047662695093351,0.008620689655172414,0.3333333333333333,0.3047662695093351
 catalytic activity (GO:0003824),121,1,1,3,706,0.43157811464046764,acsA,0.5063849878448153,0.2955191777790066,0.008264462809917356,0.3333333333333333,0.2955191777790066
 cytoplasm (GO:0005737),129,1,1,3,706,0.45461942674286726,acsA,0.519291139465481,0.2845890875995856,0.007751937984496124,0.3333333333333333,0.2845890875995856
 intracellular anatomical structure (GO:0005622),131,1,1,3,706,0.46028078270803996,acsA,0.519291139465481,0.2845890875995856,0.007633587786259542,0.3333333333333333,0.2845890875995856
 obsolete intracellular part (GO:0044424),131,1,1,3,706,0.46028078270803996,acsA,0.519291139465481,0.2845890875995856,0.007633587786259542,0.3333333333333333,0.2845890875995856
 obsolete nitrogen compound metabolic process (GO:0006807),137,1,1,3,706,0.47702950942734557,acsA,0.527765505394491,0.27755899855399174,0.0072992700729927005,0.3333333333333333,0.27755899855399174
 primary metabolic process (GO:0044238),138,1,1,3,706,0.4797868230859008,acsA,0.527765505394491,0.27755899855399174,0.007246376811594203,0.3333333333333333,0.27755899855399174
 cellular_component (GO:0005575),150,1,1,3,706,0.5121221938509927,acsA,0.5563796673936711,0.2546287494565539,0.006666666666666667,0.3333333333333333,0.2546287494565539
 obsolete organic substance metabolic process (GO:0071704),154,1,1,3,706,0.5225950816707855,acsA,0.5608337461832821,0.251165862123698,0.006493506493506494,0.3333333333333333,0.251165862123698
 obsolete cellular metabolic process (GO:0044237),159,1,1,3,706,0.5354740350737804,acsA,0.5677315070661768,0.24585700331679924,0.006289308176100629,0.3333333333333333,0.24585700331679924
 metabolic process (GO:0008152),163,1,1,3,706,0.5456088083078998,acsA,0.5715901801320855,0.24291524095713768,0.006134969325153374,0.3333333333333333,0.24291524095713768
 obsolete cell (GO:0005623),173,1,1,3,706,0.5702984846658375,acsA,0.5817372076122147,0.23527315806187624,0.005780346820809248,0.3333333333333333,0.23527315806187624
 obsolete cell part (GO:0044464),173,1,1,3,706,0.5702984846658375,acsA,0.5817372076122147,0.23527315806187624,0.005780346820809248,0.3333333333333333,0.23527315806187624
 cellular process (GO:0009987),175,1,1,3,706,0.5751265575257123,acsA,0.5817372076122147,0.23527315806187624,0.005714285714285714,0.3333333333333333,0.23527315806187624
 biological_process (GO:0008150),190,1,1,3,706,0.6101894647152618,acsA,0.6101894647152618,0.2145352949819197,0.005263157894736842,0.3333333333333333,0.2145352949819197
