gene,module_id
ABBFA_000005,1
ABBFA_000434,2
rpmC,3
ABBFA_000008,4
ABBFA_000353,5
ABBFA_000009,6
ABBFA_000164,7
ABBFA_000367,7
ABBFA_000178,8
ABBFA_000395,9
ABBFA_000396,9
ABBFA_000463,10
ABBFA_000656,11
ABBFA_000010,12
ABBFA_000464,13
ABBFA_000554,14
ABBFA_000011,15
ABBFA_000268,16
ABBFA_000690,17
ABBFA_000012,18
ABBFA_000397,19
ABBFA_000015,20
ABBFA_000413,21
ABBFA_000016,22
ABBFA_000017,23
ABBFA_000259,23
ABBFA_000302,24
ABBFA_000660,25
ABBFA_000661,25
ABBFA_003532,26
ABBFA_000408,27
ABBFA_000752,28
ABBFA_000019,29
ABBFA_000597,30
bfr,31
ABBFA_000022,32
ABBFA_000023,33
ABBFA_000245,34
ABBFA_000289,35
ABBFA_000642,36
ABBFA_000652,37
ABBFA_000284,38
ABBFA_000673,39
ABBFA_000694,40
ABBFA_000031,41
ABBFA_000090,42
ABBFA_000369,43
ABBFA_000681,44
ABBFA_000033,45
ABBFA_000034,45
ABBFA_000585,46
ABBFA_000037,47
ABBFA_000430,48
phoB,49
phoR,49
ABBFA_000040,50
ABBFA_000041,50
ABBFA_000363,51
ABBFA_000362,52
ABBFA_000052,53
ABBFA_000091,54
ABBFA_000252,55
ABBFA_000261,56
ABBFA_000474,57
ABBFA_000776,57
ABBFA_000057,58
ABBFA_000195,59
ABBFA_000196,59
ABBFA_000590,60
ABBFA_000158,61
ABBFA_000667,61
ABBFA_000064,62
ABBFA_000343,63
ABBFA_000067,64
fahA,64
maiA,64
ABBFA_000070,65
ABBFA_000180,66
ABBFA_000181,66
acsA,66
ABBFA_000352,67
ABBFA_000400,68
ABBFA_000078,69
hutH,69
hutU,69
ABBFA_000187,70
ABBFA_000188,70
ABBFA_000263,71
ABBFA_000388,72
hppD,73
ABBFA_000071,74
ABBFA_000072,75
ABBFA_000570,75
ABBFA_000569,76
ABBFA_000107,77
ABBFA_000073,78
ABBFA_000075,79
hutC,80
hutG,81
hutI,81
ABBFA_000081,82
ABBFA_000121,83
ABBFA_000084,84
ABBFA_000108,85
ABBFA_000502,86
ABBFA_000174,87
ABBFA_000357,88
ABBFA_000613,89
ABBFA_000720,90
ABBFA_000098,91
ABBFA_000398,92
ABBFA_000696,93
parE,94
ABBFA_000459,95
ABBFA_000666,96
ABBFA_000713,96
ABBFA_000262,97
ABBFA_000175,98
ABBFA_000176,98
ABBFA_000310,98
ABBFA_000371,99
ABBFA_000112,100
ABBFA_000113,101
ABBFA_000116,102
ABBFA_000461,103
ABBFA_000254,104
ABBFA_003544,105
ABBFA_000123,106
ABBFA_000125,107
ABBFA_000544,108
ABBFA_000127,109
ABBFA_000129,109
uraH,109
ABBFA_000131,110
allC,111
ABBFA_000132,112
ABBFA_000247,113
ABBFA_000138,114
ABBFA_000288,115
ABBFA_000139,116
ABBFA_000173,117
ABBFA_000142,118
ABBFA_000336,119
ABBFA_000143,120
rpmJ,121
ABBFA_000153,122
ABBFA_000201,123
ABBFA_000157,124
ABBFA_000274,125
ABBFA_000365,126
ABBFA_000159,127
ABBFA_000755,128
ABBFA_000160,129
